"time","revolute1.w","revolute1.tau","revolute1.frame_b.f[3]","revolute1.frame_b.f[1]","revolute1.frame_b.f[2]"
1.84438,-1.175533992881836,-90.172300444285,-185.6312468983137,54.8417180561555,1.554956671254205e-13
1.84838,-1.456211274499067,-102.2831355727725,-210.1284623196689,57.93237800076864,3.596322996428139e-14
1.85238,-1.766409591420547,-114.3323819355829,-234.5264223407032,60.63485899778944,-9.38734013898593e-14
1.85638,-2.105973125299405,-126.0781263068178,-258.3406214596856,62.8051358473965,2.87268434181526e-13
1.86038,-2.468448514276826,-133.5040697791306,-273.4846073896961,63.3009830417948,-6.963302624668442e-15
1.86438,-2.840085274486998,-135.2892018003551,-277.3001888842617,61.92539736382194,8.70026653628819e-14
1.86838,-3.211887125558868,-135.4222697921094,-277.8196003166744,59.86364224456413,1.396346147134975e-13
1.87239,-3.58175168156499,-135.3267680057438,-277.9098226137745,57.50896259463964,6.364946052250791e-14
1.87639,-3.949512601819924,-135.2602588925746,-278.0892110485611,54.93041781535575,2.458186424230182e-13
1.88039,-4.315384996586908,-135.3248697733721,-278.562869818203,52.14950885455323,3.02939732413221e-13
1.88439,-4.679489956539761,-135.2953125958672,-278.8775192563775,49.13587913101604,-5.541620696778036e-14
1.88839,-5.041996134762141,-135.3611307416007,-279.4138470917202,45.92327180667429,8.135895879928986e-13
1.89239,-5.403207778121249,-135.3623013783667,-279.8491500113992,42.50126983635601,2.775533586041092e-13
1.89639,-5.763330947937556,-135.4045806934644,-280.395918690247,38.88775718171209,1.488128281344255e-14
1.90039,-6.122677543203197,-135.3997352168624,-280.8759102888123,35.08817374263673,-7.033953239651272e-14
1.90439,-6.481569781577599,-135.398263551926,-281.3896248332824,31.11317686634678,5.168391689647523e-14
1.90839,-6.840356641494818,-135.364867036329,-281.8649671438178,26.97380727951159,-2.807152651724479e-13
1.91239,-7.199391339386315,-135.3263805384642,-282.3547544469628,22.67867013010506,1.507729052532224e-13
1.91639,-7.558911237901535,-135.1849094331688,-282.6607360189136,18.25353891700919,1.283954028221492e-12
1.9204,-7.91925457283488,-135.0592565504571,-283.0195875620298,13.69058643104086,4.02347530008372e-13
1.9244,-8.280615822485569,-134.8239013295098,-283.1770942632656,9.028346841861556,1.255770257043777e-13
1.9284,-8.64308465636751,-134.5353441887821,-283.2447955696833,4.270487578348977,-2.321779342472611e-14
1.9324,-9.006763942665687,-134.1799642065198,-283.1917489954815,-0.5703713736348277,-5.485982647231257e-14
1.9364,-9.371424529013483,-133.6790652566042,-282.8570013020376,-5.447608025393443,8.557072621254993e-14
1.9404,-9.736761550709815,-133.0922523458286,-282.3564868579084,-10.36873624618821,5.4247211579564e-14
1.9444,-10.10227242106226,-132.3826772379184,-281.6118026878172,-15.30439756754184,-1.8136864760101e-13
1.9484,-10.4670666213651,-131.484727503274,-280.4857019893807,-20.20696289294153,-3.682506706255279e-15
1.9524,-10.82994358140975,-130.4313079792212,-279.0388851348399,-25.07714280436861,2.107282040680511e-14
1.9564,-11.18952895329366,-129.126666590054,-277.0723573210756,-29.83875073070777,2.690693976000704e-13
1.9604,-11.54226936400569,-126.1440758498136,-271.7035990562032,-33.45678561264471,7.305880144312079e-14
1.9644,-11.8744863530642,-117.7078680786288,-255.3081413018929,-32.86886582481021,3.617350375050166e-13
1.96841,-12.17112738795282,-99.8848986128841,-220.0473330674577,-22.92065384799637,9.502764258642374e-14
1.97241,-12.42420753510947,-101.1052360387412,-222.8068639152206,-31.42688815429934,-7.573413166506418e-14
1.97641,-12.62905239259938,-86.98227212621219,-194.8124994113345,-23.71151298526054,8.797840776191567e-14
1.98041,-12.78152619438482,-73.89658340169471,-168.819806523693,-16.11854188229908,4.447143875845469e-14
1.98441,-12.87741286778815,-62.16141672821681,-145.4480589211951,-9.298489885141613,1.298071865219239e-13
1.98841,-12.91245869855574,-50.95214930876296,-123.0438596636179,-2.478709017656023,2.97540994892082e-14
1.99241,-12.8827609023503,-40.03684515636236,-101.1420394916372,4.524044949094176,-3.261684417999964e-14
1.99641,-12.78501991458967,-29.41233539243589,-79.73775323353161,11.63586923707908,6.017340171756264e-14
2.00041,-12.61682256355276,-19.11559336699699,-58.90975312075953,18.74549285621482,2.589129868555894e-14
2.00441,-12.37691531616245,-9.188344180495907,-38.7495809914692,25.75111589521246,-3.927078585283171e-13
2.00841,-12.06527174542361,0.1051433949888541,-19.80051967519463,32.26257818534346,1.41949396182304e-12
2.01241,-11.68889345664255,6.041537800116684,-7.566283002266459,34.4358800697794,3.637616823361844e-13
2.01642,-11.26126148865822,8.130299626339657,-3.046569237908229,31.28198613877436,-1.365728830321327e-12
2.02042,-10.78797805645633,11.22097704656851,3.524879131465653,29.66846822702125,6.389391948505529e-13
2.02442,-10.26487353594643,17.6137116603062,16.76806792930887,33.23420576334749,3.623142518227625e-13
2.02842,-9.691863533608046,24.77285285147637,31.55245300615848,38.44804435811481,-2.397875216177317e-13
2.03242,-9.076169434771517,31.51970561361031,45.48558441821253,43.61484756026434,-1.638622338349545e-13
2.03642,-8.427936685758201,37.57694585880776,57.99501808937265,48.33396366688242,2.041467392198953e-13
2.04042,-7.758173257285886,42.96019591509432,69.10209650412385,52.62245701774194,-2.387248669709979e-13
2.04442,-7.07790840931805,47.66417324105697,78.78922008379853,56.44583275069495,-5.908790012733224e-13
2.04842,-6.397776989003682,51.78664098891126,87.24985700192768,59.90507290095093,-8.527543816787378e-14
2.05242,-5.727627100746848,55.27502653832757,94.37716872392717,62.86349778529765,1.75641961613687e-13
2.05642,-5.076189031726062,58.26151577802874,100.4397593679635,65.44402635393116,-3.257055262565198e-13
2.06042,-4.450990059201997,60.77916413410853,105.5075036058158,67.62899637257372,-6.319122008507942e-14
2.06443,-3.858063642549328,62.83387710654587,109.5980113841435,69.35053785896942,-1.298394919763643e-13
2.06843,-3.302434752831365,64.08082926248107,112.0258540384764,70.04124524124478,7.261007988361226e-14
2.07243,-2.789580005944026,62.41080493425094,108.5683860509615,66.66396823769099,2.75042874456259e-13
2.07643,-2.322916743163364,58.97551851448934,101.5519008111285,61.00964192118197,-1.110589237277713e-13
2.08043,-1.901999707125857,55.29181963792651,94.02966157009554,55.24977678136273,2.943504665988386e-14
2.08443,-1.524598554923652,51.72593791926658,86.739531398632,49.88024129087863,1.778892777370052e-14
2.08843,-1.187975944198305,48.35162372315573,79.83239861704261,44.96268876438549,2.53609325309267e-14
2.09243,-0.8893752359264265,45.14116551222561,73.25393720844794,40.44085599027633,2.025918432128615e-14
2.09643,-0.6262159280063365,42.08994742562066,66.99595814155875,36.29025435201841,8.523786521282541e-14
2.10043,-0.3968510209847264,39.25178519162265,61.16837640648465,32.54208501296362,1.924588141486224e-14
2.10443,-0.1885829015046384,34.35187521521122,51.18165531196589,26.98397296402929,1.18102869736831e-13
2.10843,-0.02023871357448975,35.73269740698422,53.86820258025909,27.56160292496413,2.573866526171858e-14
2.11243,0.1259796009164861,34.76027230328671,51.80861701705685,25.91968801683159,3.519502911782222e-14
2.11644,0.2517767384431164,31.66525584285261,45.4703716026974,22.49980563189042,-1.113069499850514e-13
2.12044,0.3547927538560097,29.29987021070372,40.60681462340064,19.87046856430705,-1.568726171972569e-13
2.12444,0.4377267342493953,27.39864555297932,36.6826885033739,17.74644498572406,2.390333805581481e-14
2.12844,0.5025885926518526,25.77610115865269,33.3238176204882,15.94400814146182,8.078760474122979e-14
2.13244,0.5510091506151775,24.32551009008328,30.31555879955399,14.35522379501377,-4.189155880055777e-15
2.13644,0.5843137702807459,22.98672695910572,27.53647789310378,12.92585474916186,-4.690240269852028e-13
2.14044,0.6037814850557767,21.80513511085582,25.07842844581153,11.67559851578444,3.965329257966387e-14
2.14444,0.6106894593503955,20.75879954842501,22.8974892475584,10.57641810750092,1.167439221144912e-13
